car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,torque,seats,selling_price
Honda Amaze,Honda,Amaze,8,33456,Dealer,Petrol,Automatic,15.5,1248.0,86.7,113.0,5.0,425000
Maruti Baleno,Maruti,Baleno,3,22000,Dealer,Petrol,Manual,21.4,1197.0,83.1,12.7,5.0,750000
Audi A8,Audi,A8,6,55000,Dealer,Diesel,Automatic,16.77,2967.0,246.74,91.0,4.0,4450000
Skoda Rapid,Skoda,Rapid,6,52000,Dealer,Diesel,Manual,21.14,1498.0,103.52,113.0,5.0,515000
Datsun RediGO,Datsun,RediGO,3,27263,Individual,Petrol,Manual,22.5,999.0,68.0,190.0,5.0,350000
Hyundai i20,Hyundai,i20,5,27884,Dealer,Petrol,Manual,18.6,1197.0,81.83,200.0,5.0,629000
Toyota Innova,Toyota,Innova,8,120000,Individual,Diesel,Manual,12.99,2494.0,100.6,113.0,7.0,1000000
Maruti XL6,Maruti,XL6,1,14000,Dealer,Petrol,Manual,19.01,1462.0,103.2,24.0,6.0,1150000
Tata Hexa,Tata,Hexa,3,84523,Dealer,Diesel,Manual,19.62,2179.0,153.86,113.0,7.0,1198000
Honda City,Honda,City,5,78236,Dealer,Petrol,Manual,17.4,1497.0,117.3,12.7,5.0,651000
Hyundai Grand,Hyundai,Grand,8,70000,Dealer,Diesel,Manual,19.62,1120.0,70.0,190.0,5.0,290000
Audi A4,Audi,A4,5,51000,Dealer,Diesel,Automatic,18.25,1968.0,187.74,113.0,5.0,1850000
Land Rover Rover,Land Rover,Rover,4,35800,Dealer,Diesel,Automatic,12.83,1248.0,148.31,113.0,7.0,3575000
Mahindra Bolero,Mahindra,Bolero,11,85000,Individual,Diesel,Manual,19.62,2523.0,63.0,200.0,7.0,330000
Kia Seltos,Kia,Seltos,2,20999,Dealer,Petrol,Manual,16.1,1353.0,138.0,12.7,5.0,1840000
Honda City,Honda,City,2,10229,Dealer,Petrol,Manual,17.4,1497.0,117.6,12.7,5.0,1100000
Tata Safari,Tata,Safari,10,120000,Individual,Diesel,Manual,13.93,2179.0,138.03,200.0,7.0,270000
Renault Duster,Renault,Duster,8,47000,Dealer,Diesel,Manual,20.46,1461.0,83.8,190.0,5.0,625000
Hyundai i10,Hyundai,i10,12,42000,Individual,Petrol,Manual,19.81,1086.0,68.05,170.0,5.0,180000
Land Rover Rover,Land Rover,Rover,9,98000,Dealer,Diesel,Automatic,12.7,2179.0,187.7,250.0,5.0,2090000
Toyota Fortuner,Toyota,Fortuner,2,45000,Dealer,Diesel,Automatic,12.9,2755.0,174.5,113.0,7.0,3300000
Maruti Swift,Maruti,Swift,8,70000,Individual,Diesel,Manual,22.9,1248.0,74.0,113.0,5.0,530000
Honda City,Honda,City,6,47000,Dealer,Petrol,Automatic,18.0,1497.0,117.3,91.0,5.0,775000
Maruti Eeco,Maruti,Eeco,10,70000,Dealer,Petrol,Manual,16.11,1196.0,72.42,113.0,5.0,275000
Honda Jazz,Honda,Jazz,2,12000,Dealer,Petrol,Manual,18.7,1199.0,88.7,170.0,5.0,825000
Maruti Wagon R,Maruti,Wagon R,9,49000,Dealer,Petrol,Manual,20.51,998.0,67.04,12.7,5.0,231000
Mahindra XUV500,Mahindra,XUV500,4,48900,Dealer,Diesel,Manual,16.0,2179.0,140.0,113.0,7.0,1125000
Honda WR-V,Honda,WR-V,4,20000,Individual,Petrol,Manual,17.5,1199.0,88.5,190.0,5.0,750000
Maruti Celerio,Maruti,Celerio,5,70000,Individual,Petrol,Manual,19.62,998.0,67.04,170.0,5.0,375000
Maruti Wagon R,Maruti,Wagon R,6,15000,Individual,Petrol,Manual,20.51,998.0,67.04,200.0,5.0,300000
Maruti Swift,Maruti,Swift,4,91000,Dealer,Diesel,Manual,28.4,1248.0,88.5,190.0,5.0,725000
Maruti Wagon R,Maruti,Wagon R,5,15680,Dealer,Petrol,Automatic,20.51,998.0,67.04,190.0,5.0,451000
Hyundai Verna,Hyundai,Verna,4,40000,Individual,Diesel,Automatic,22.0,1582.0,126.2,250.0,5.0,980000
Mahindra Scorpio,Mahindra,Scorpio,11,95000,Individual,Diesel,Automatic,11.79,2179.0,120.0,113.0,8.0,500000
Mahindra XUV500,Mahindra,XUV500,4,65000,Dealer,Diesel,Automatic,16.0,2179.0,140.0,12.7,7.0,1175000
Honda WR-V,Honda,WR-V,3,33000,Dealer,Diesel,Manual,25.5,1498.0,88.5,250.0,5.0,890000
Maruti Celerio,Maruti,Celerio,3,36000,Dealer,Petrol,Automatic,23.1,998.0,88.5,113.0,5.0,545000
Maruti Swift,Maruti,Swift,12,63000,Dealer,Petrol,Manual,16.1,1197.0,88.5,12.7,5.0,220000
Ford Figo,Ford,Figo,10,44000,Dealer,Petrol,Manual,15.6,1196.0,70.0,91.0,5.0,251000
Tata Nexon,Tata,Nexon,3,10000,Individual,Petrol,Manual,17.0,1198.0,108.5,113.0,5.0,550000
Volkswagen Vento,Volkswagen,Vento,6,52000,Individual,Petrol,Manual,15.04,1598.0,103.2,190.0,5.0,510000
Maruti Baleno,Maruti,Baleno,4,34676,Dealer,Petrol,Manual,21.4,1197.0,83.1,91.0,5.0,710000
Skoda Octavia,Skoda,Octavia,13,38000,Dealer,Diesel,Manual,19.62,1896.0,122.4,91.0,5.0,540000
Jaguar XF,Jaguar,XF,8,58000,Dealer,Diesel,Automatic,16.36,2179.0,187.7,24.0,5.0,2085000
Mahindra Bolero,Mahindra,Bolero,11,350000,Individual,Diesel,Manual,13.6,2523.0,63.0,190.0,7.0,325000
Maruti Swift Dzire,Maruti,Swift Dzire,7,50900,Dealer,Diesel,Manual,19.3,1248.0,73.9,113.0,5.0,450000
Maruti Wagon R,Maruti,Wagon R,5,32000,Dealer,Petrol,Manual,18.9,998.0,67.1,170.0,5.0,350000
Hyundai i20,Hyundai,i20,3,25000,Dealer,Petrol,Manual,18.6,1197.0,81.86,200.0,5.0,550000
Maruti Swift,Maruti,Swift,8,73695,Trustmark Dealer,Petrol,Manual,18.6,1197.0,85.8,200.0,5.0,345000
Toyota Innova,Toyota,Innova,7,79000,Dealer,Diesel,Manual,19.62,2494.0,100.6,24.0,7.0,1140000
Maruti Alto,Maruti,Alto,14,17000,Dealer,Petrol,Manual,19.7,796.0,46.3,200.0,5.0,145000
Mahindra Scorpio,Mahindra,Scorpio,14,76600,Dealer,Diesel,Manual,10.5,2179.0,120.0,200.0,7.0,375000
Tata Safari,Tata,Safari,9,80000,Individual,Diesel,Manual,13.93,2179.0,138.03,250.0,7.0,285000
Honda City,Honda,City,5,19000,Dealer,Petrol,Automatic,18.0,1497.0,117.3,91.0,5.0,820000
Maruti Swift,Maruti,Swift,3,40000,Individual,Petrol,Manual,21.21,1197.0,88.5,12.7,5.0,550000
Maruti Alto,Maruti,Alto,5,49000,Dealer,Petrol,Manual,22.74,796.0,47.3,200.0,5.0,300000
Hyundai Creta,Hyundai,Creta,4,58000,Dealer,Petrol,Manual,13.0,1591.0,121.3,190.0,5.0,1175000
Maruti Vitara,Maruti,Vitara,4,67000,Dealer,Diesel,Manual,24.3,1248.0,88.5,12.7,5.0,800000
Tata Tiago,Tata,Tiago,3,41000,Dealer,Petrol,Manual,23.84,1199.0,84.0,12.7,5.0,520000
Maruti Eeco,Maruti,Eeco,7,39000,Dealer,Cng,Manual,21.94,1248.0,61.7,113.0,5.0,365000
Maruti Vitara,Maruti,Vitara,2,7980,Dealer,Diesel,Manual,24.3,1248.0,88.5,170.0,5.0,850000
Hyundai Creta,Hyundai,Creta,4,60000,Individual,Diesel,Manual,21.38,1396.0,88.7,200.0,5.0,880000
Hyundai i20,Hyundai,i20,6,34000,Dealer,Petrol,Manual,18.5,1197.0,82.9,200.0,5.0,495000
Mahindra Scorpio,Mahindra,Scorpio,11,49000,Dealer,Diesel,Manual,19.62,2179.0,120.0,24.0,7.0,399000
Ford Figo,Ford,Figo,4,40000,Individual,Diesel,Manual,24.29,1498.0,99.0,200.0,5.0,580000
Hyundai i20,Hyundai,i20,4,34300,Dealer,Petrol,Manual,18.6,1197.0,81.83,250.0,5.0,600000
Toyota Innova,Toyota,Innova,2,6500,Dealer,Diesel,Manual,13.68,2393.0,147.8,12.7,7.0,2150000
Hyundai Grand,Hyundai,Grand,6,65481,Dealer,Petrol,Manual,18.9,1197.0,82.0,250.0,5.0,434000
Hyundai Grand,Hyundai,Grand,8,83000,Individual,Diesel,Manual,24.0,1120.0,70.0,190.0,5.0,315000
Audi A6,Audi,A6,7,56000,Dealer,Diesel,Automatic,17.68,1968.0,174.33,113.0,5.0,1650000
Hyundai Grand,Hyundai,Grand,12,59000,Dealer,Diesel,Manual,24.0,1120.0,70.0,113.0,5.0,210000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,6,65000,Dealer,Diesel,Automatic,13.0,2987.0,261.5,190.0,5.0,2490000
Honda Jazz,Honda,Jazz,2,10597,Dealer,Petrol,Manual,18.7,1199.0,88.7,91.0,5.0,815000
Hyundai Santro,Hyundai,Santro,11,50503,Dealer,Petrol,Manual,17.92,1086.0,62.1,200.0,5.0,190000
BMW X3,BMW,X3,7,66000,Dealer,Diesel,Automatic,18.56,1995.0,190.0,113.0,5.0,2150000
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,Diesel,Manual,16.5,1493.0,70.0,91.0,7.0,750000
Toyota Innova,Toyota,Innova,4,65000,Dealer,Diesel,Manual,13.68,2393.0,147.8,12.7,5.0,1670000
Maruti Alto,Maruti,Alto,9,21000,Individual,Petrol,Manual,19.7,796.0,46.3,200.0,5.0,140000
Hyundai i10,Hyundai,i10,5,47000,Individual,Petrol,Manual,19.81,1086.0,68.05,113.0,5.0,370000
Audi A4,Audi,A4,8,38672,Dealer,Diesel,Automatic,15.2,1968.0,88.5,250.0,5.0,1285000
Mahindra Scorpio,Mahindra,Scorpio,9,89000,Dealer,Diesel,Manual,12.05,1248.0,120.0,113.0,8.0,695000
Skoda Rapid,Skoda,Rapid,7,59000,Dealer,Petrol,Automatic,14.3,1598.0,103.6,113.0,5.0,445000
Maruti Swift Dzire,Maruti,Swift Dzire,4,90000,Individual,Diesel,Manual,28.4,1248.0,74.02,113.0,5.0,700000
Tata Tiago,Tata,Tiago,5,90000,Individual,Petrol,Manual,23.84,1199.0,84.0,12.7,5.0,400000
Maruti Swift Dzire,Maruti,Swift Dzire,8,50000,Dealer,Petrol,Manual,19.1,1197.0,85.8,24.0,5.0,375000
Maruti Alto,Maruti,Alto,5,42540,Dealer,Petrol,Manual,22.74,796.0,47.3,24.0,5.0,290000
Maruti Ertiga,Maruti,Ertiga,7,76000,Individual,Petrol,Manual,16.02,1373.0,93.7,24.0,7.0,450000
Honda City,Honda,City,6,45000,Dealer,Petrol,Manual,17.4,1497.0,117.3,250.0,5.0,665000
Volkswagen Polo,Volkswagen,Polo,6,42000,Dealer,Diesel,Manual,20.14,1498.0,88.8,190.0,5.0,640000
Maruti Swift,Maruti,Swift,6,56562,Dealer,Diesel,Manual,25.2,1248.0,74.0,12.7,5.0,540000
Ford Ecosport,Ford,Ecosport,7,38000,Dealer,Diesel,Manual,22.7,1498.0,89.84,190.0,5.0,650000
Ford Freestyle,Ford,Freestyle,2,5600,Dealer,Petrol,Manual,19.0,1194.0,94.68,113.0,5.0,740000
Honda Jazz,Honda,Jazz,6,64000,Individual,Petrol,Manual,18.7,1248.0,88.7,113.0,5.0,570000
Hyundai Creta,Hyundai,Creta,3,25000,Individual,Diesel,Manual,19.67,1582.0,126.2,250.0,5.0,1200000
Maruti Alto,Maruti,Alto,5,13000,Individual,Petrol,Manual,23.95,998.0,67.05,170.0,5.0,299000
Honda Amaze,Honda,Amaze,8,53000,Dealer,Petrol,Automatic,15.5,1248.0,86.7,113.0,5.0,425000
Honda City,Honda,City,14,78948,Dealer,Petrol,Manual,17.8,1498.0,119.35,113.0,5.0,327000
Maruti Swift,Maruti,Swift,5,8000,Dealer,Petrol,Manual,22.0,1197.0,81.8,170.0,5.0,475000
Honda City,Honda,City,6,42000,Individual,Petrol,Manual,17.4,1497.0,117.3,24.0,5.0,550000
Honda City,Honda,City,14,44621,Dealer,Petrol,Manual,13.0,1343.0,90.0,170.0,5.0,300000
Hyundai i20,Hyundai,i20,2,40000,Individual,Diesel,Manual,22.54,1396.0,88.76,170.0,5.0,725000
Hyundai i10,Hyundai,i10,7,60000,Individual,Petrol,Manual,20.36,1197.0,78.9,113.0,5.0,285000
Mahindra Marazzo,Mahindra,Marazzo,3,36000,Dealer,Diesel,Manual,17.3,1497.0,121.0,24.0,7.0,1085000
Maruti Swift Dzire,Maruti,Swift Dzire,9,56200,Dealer,Diesel,Manual,23.4,1248.0,74.0,200.0,5.0,485000
Maruti Ertiga,Maruti,Ertiga,8,90000,Individual,Diesel,Manual,20.77,1248.0,88.76,113.0,7.0,600000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,14,77000,Dealer,Diesel,Automatic,11.0,2987.0,198.5,12.7,5.0,750000
Maruti Alto,Maruti,Alto,7,2620,Dealer,Petrol,Manual,22.74,796.0,47.3,113.0,5.0,275000
Honda City,Honda,City,7,120000,Individual,Diesel,Manual,19.62,1498.0,98.6,250.0,5.0,500000
Mahindra KUV,Mahindra,KUV,4,35000,Individual,Petrol,Manual,18.15,1198.0,82.0,190.0,5.0,450000
Hyundai Grand,Hyundai,Grand,6,48728,Dealer,Diesel,Manual,24.0,1120.0,70.0,200.0,5.0,480000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,35400,Dealer,Diesel,Automatic,14.84,2143.0,88.5,12.7,5.0,1385000
Hyundai i10,Hyundai,i10,10,15000,Individual,Petrol,Manual,20.36,1197.0,78.9,24.0,5.0,500000
Datsun redi-GO,Datsun,redi-GO,5,50000,Dealer,Petrol,Manual,21.7,999.0,67.05,24.0,5.0,325000
Nissan Kicks,Nissan,Kicks,1,15000,Individual,Petrol,Manual,14.23,1330.0,153.87,250.0,5.0,1000000
Hyundai Grand,Hyundai,Grand,5,5000,Individual,Diesel,Manual,24.0,1120.0,70.0,190.0,5.0,535000
Maruti Swift Dzire,Maruti,Swift Dzire,13,84903,Dealer,Diesel,Manual,19.3,1248.0,73.9,12.7,5.0,340000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,3,8000,Dealer,Petrol,Automatic,14.74,1991.0,181.04,200.0,5.0,3650000
Volkswagen Vento,Volkswagen,Vento,9,57500,Dealer,Petrol,Automatic,14.4,1598.0,103.6,200.0,5.0,350000
Jeep Compass,Jeep,Compass,2,32280,Dealer,Diesel,Manual,17.1,1956.0,170.63,170.0,5.0,1875000
Honda City,Honda,City,6,80000,Individual,Diesel,Manual,26.0,1498.0,98.6,190.0,5.0,760000
Ford Figo,Ford,Figo,9,63000,Dealer,Diesel,Manual,20.0,1399.0,68.05,200.0,5.0,210000
Land Rover Rover,Land Rover,Rover,11,80000,Individual,Diesel,Automatic,10.2,4367.0,308.0,24.0,7.0,3000000
Hyundai Grand,Hyundai,Grand,4,23000,Dealer,Petrol,Manual,18.9,1197.0,81.86,170.0,5.0,455000
Maruti Swift,Maruti,Swift,5,100000,Individual,Diesel,Manual,25.2,1248.0,74.0,91.0,5.0,535000
Hyundai i20,Hyundai,i20,5,8500,Dealer,Petrol,Manual,18.5,1197.0,80.0,170.0,5.0,540000
Maruti Swift,Maruti,Swift,7,57351,Dealer,Diesel,Manual,22.9,1248.0,74.0,190.0,5.0,450000
Hyundai i10,Hyundai,i10,8,38100,Dealer,Petrol,Manual,20.36,1197.0,78.9,91.0,5.0,340000
Toyota Innova,Toyota,Innova,10,68830,Dealer,Diesel,Manual,12.8,2494.0,102.0,190.0,7.0,685000
Maruti Swift,Maruti,Swift,15,84800,Dealer,Petrol,Manual,16.1,1197.0,85.0,250.0,5.0,185000
Honda City,Honda,City,7,26000,Dealer,Diesel,Manual,26.0,1498.0,98.6,12.7,5.0,590000
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,Petrol,Manual,18.9,1197.0,82.0,113.0,5.0,400000
Tata Safari,Tata,Safari,6,147000,Individual,Diesel,Manual,14.0,2179.0,138.1,113.0,7.0,800000
Toyota Glanza,Toyota,Glanza,2,10000,Dealer,Petrol,Manual,21.01,1197.0,81.8,200.0,5.0,800000
Hyundai Verna,Hyundai,Verna,3,40000,Individual,Diesel,Manual,22.0,1582.0,126.2,24.0,5.0,975000
BMW 3,BMW,3,10,51000,Dealer,Diesel,Automatic,16.07,1995.0,181.0,24.0,4.0,850000
Maruti Celerio,Maruti,Celerio,6,20934,Dealer,Petrol,Manual,23.1,998.0,67.04,91.0,5.0,360000
Honda CR-V,Honda,CR-V,4,35000,Dealer,Petrol,Automatic,12.0,2354.0,187.4,190.0,5.0,1775000
Audi A4,Audi,A4,7,15000,Individual,Diesel,Automatic,14.94,2967.0,241.4,113.0,5.0,2100000
Hyundai Creta,Hyundai,Creta,6,51000,Dealer,Diesel,Manual,21.38,1396.0,88.5,113.0,5.0,910000
Ford Ecosport,Ford,Ecosport,6,95945,Individual,Petrol,Automatic,15.63,1499.0,110.4,190.0,5.0,500000
Renault KWID,Renault,KWID,3,21000,Dealer,Petrol,Automatic,19.62,999.0,67.0,12.7,5.0,450000
Maruti Ertiga,Maruti,Ertiga,4,84900,Dealer,Petrol,Manual,17.5,1373.0,91.1,113.0,7.0,800000
Mahindra Bolero,Mahindra,Bolero,13,500000,Individual,Diesel,Manual,13.6,2523.0,63.0,250.0,7.0,200000
Maruti Swift Dzire,Maruti,Swift Dzire,4,10000,Individual,Petrol,Automatic,22.0,1197.0,81.8,200.0,5.0,780000
BMW 3,BMW,3,4,30000,Individual,Petrol,Automatic,19.62,1998.0,249.0,91.0,5.0,4000000
Honda City,Honda,City,6,60000,Dealer,Petrol,Manual,17.4,1497.0,117.3,200.0,5.0,625000
Hyundai Grand,Hyundai,Grand,4,20000,Dealer,Petrol,Manual,18.9,1197.0,81.86,170.0,5.0,436000
Maruti Alto,Maruti,Alto,15,75000,Dealer,Petrol,Manual,19.7,796.0,46.3,170.0,5.0,105000
Skoda Rapid,Skoda,Rapid,9,67000,Dealer,Diesel,Manual,20.5,1598.0,103.5,91.0,5.0,325000
Maruti Alto,Maruti,Alto,10,32000,Dealer,Petrol,Manual,19.62,998.0,67.1,113.0,5.0,200000
Toyota Fortuner,Toyota,Fortuner,10,158000,Dealer,Diesel,Manual,11.5,2982.0,88.5,12.7,7.0,1050000
Maruti Baleno,Maruti,Baleno,6,30000,Dealer,Petrol,Manual,21.4,1197.0,83.1,170.0,5.0,520000
BMW X1,BMW,X1,3,18000,Dealer,Diesel,Automatic,19.62,1998.0,192.0,12.7,5.0,3350000
Mahindra XUV500,Mahindra,XUV500,3,20000,Individual,Diesel,Manual,16.0,2179.0,140.0,91.0,7.0,1500000
Hyundai Grand,Hyundai,Grand,5,64300,Dealer,Diesel,Manual,24.0,1120.0,70.0,113.0,5.0,425000
Ford Ecosport,Ford,Ecosport,4,63000,Dealer,Petrol,Manual,15.9,1496.0,120.69,250.0,5.0,865000
Maruti Wagon R,Maruti,Wagon R,8,25840,Dealer,Petrol,Manual,20.51,1248.0,67.04,113.0,5.0,300000
Renault KWID,Renault,KWID,3,8627,Dealer,Petrol,Manual,21.74,999.0,67.0,24.0,5.0,385000
Tata Safari,Tata,Safari,8,67231,Dealer,Diesel,Manual,14.0,2179.0,138.1,200.0,7.0,705000
Maruti Ciaz,Maruti,Ciaz,4,29000,Dealer,Petrol,Manual,20.73,1373.0,91.2,170.0,5.0,750000
Honda Amaze,Honda,Amaze,6,61000,Dealer,Diesel,Manual,25.8,1498.0,98.6,190.0,5.0,515000
Toyota Fortuner,Toyota,Fortuner,4,55000,Dealer,Diesel,Manual,12.55,2982.0,168.5,250.0,7.0,2695000
Datsun RediGO,Datsun,RediGO,4,21918,Dealer,Petrol,Manual,22.7,799.0,53.64,200.0,5.0,269000
Hyundai Grand,Hyundai,Grand,4,21000,Individual,Petrol,Manual,18.9,1197.0,82.0,91.0,5.0,550000
Maruti Alto,Maruti,Alto,8,66516,Dealer,Petrol,Manual,22.74,796.0,47.3,12.7,5.0,220000
Maruti Baleno,Maruti,Baleno,5,30000,Individual,Petrol,Manual,21.4,1197.0,83.1,170.0,5.0,475000
Maruti Alto,Maruti,Alto,12,73000,Dealer,Petrol,Manual,19.7,796.0,46.3,113.0,5.0,135000
Hyundai i20,Hyundai,i20,8,80849,Dealer,Diesel,Manual,22.54,1396.0,88.76,24.0,5.0,290000
Hyundai i10,Hyundai,i10,8,25981,Dealer,Petrol,Manual,20.36,1197.0,78.9,250.0,5.0,399000
Maruti Ertiga,Maruti,Ertiga,7,72372,Dealer,Diesel,Manual,20.77,1248.0,88.8,250.0,7.0,675000
Honda City,Honda,City,7,171000,Individual,Diesel,Manual,25.1,1498.0,98.6,24.0,5.0,530000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,8,41000,Dealer,Diesel,Automatic,10.0,2143.0,170.0,113.0,5.0,1450000
Mahindra XUV500,Mahindra,XUV500,2,20000,Individual,Diesel,Manual,15.1,2179.0,152.87,113.0,7.0,1667000
Honda City,Honda,City,6,51000,Dealer,Petrol,Manual,17.4,1497.0,117.3,190.0,5.0,550000
Hyundai Verna,Hyundai,Verna,9,76800,Dealer,Diesel,Manual,22.32,1582.0,126.3,24.0,5.0,450000
Ford Endeavour,Ford,Endeavour,9,58000,Dealer,Diesel,Automatic,11.4,2953.0,153.86,91.0,7.0,750000
Mahindra XUV500,Mahindra,XUV500,8,148736,Individual,Diesel,Manual,15.1,2179.0,140.0,190.0,7.0,700000
Maruti Alto,Maruti,Alto,15,30000,Individual,Petrol,Manual,19.7,796.0,46.3,91.0,5.0,135000
Mahindra Bolero,Mahindra,Bolero,6,150000,Individual,Diesel,Manual,15.96,2523.0,88.5,190.0,9.0,650000
Hyundai Santro,Hyundai,Santro,12,63000,Dealer,Petrol,Manual,17.92,1086.0,62.1,190.0,5.0,125000
Renault KWID,Renault,KWID,5,28000,Dealer,Petrol,Manual,25.17,799.0,53.3,170.0,5.0,285000
Maruti Baleno,Maruti,Baleno,2,4104,Dealer,Petrol,Manual,19.62,1197.0,83.1,12.7,5.0,675000
Volkswagen Polo,Volkswagen,Polo,8,61000,Dealer,Diesel,Manual,22.07,1199.0,73.9,170.0,5.0,278000
Honda City,Honda,City,6,70000,Individual,Diesel,Manual,26.0,1498.0,98.6,12.7,5.0,650000
Hyundai i20,Hyundai,i20,9,36000,Dealer,Petrol,Manual,17.0,1197.0,80.0,91.0,5.0,385000
Maruti Wagon R,Maruti,Wagon R,12,69000,Dealer,Petrol,Manual,21.79,998.0,67.05,170.0,5.0,250000
Honda Jazz,Honda,Jazz,5,18000,Individual,Petrol,Manual,18.7,1199.0,88.7,190.0,5.0,540000
Maruti Alto,Maruti,Alto,3,20000,Individual,Petrol,Manual,23.95,998.0,67.05,250.0,5.0,310000
Ford Endeavour,Ford,Endeavour,10,62000,Dealer,Diesel,Automatic,11.4,1248.0,153.86,113.0,5.0,425000
