car_name,brand,model,vehicle_age,km_driven,seller_type,fuel_type,transmission_type,mileage,engine,max_power,torque,seats,selling_price
Volkswagen Polo,Volkswagen,Polo,7,20000,Dealer,  Petrol ,Manual,16.47 kmpl,1198 CC,73.9 bhp,170Nm@ 1800-2400rpm,5.0,650000
Tata Tiago,Tata,Tiago,2,20149,Dealer,Petrol,Manual,23.84 kmpl,1199 CC,84.0 bhp,250Nm@ 1500-2500rpm,5.0,470000
Volkswagen Polo,Volkswagen,Polo,10,78800,Dealer,Diesel,Manual,22.07 kmpl,1199 CC,,113Nm@ 4000rpm,5.0,220000
Maruti Swift Dzire,Maruti,Swift Dzire,9,20699,Dealer,Diesel,Manual,23.4 kmpl,1248 CC,74.0 bhp,113Nm@ 4000rpm,5.0,475000
Ford Ecosport,Ford,Ecosport,2,15700,Dealer,Petrol,Automatic,14.7 kmpl,1496 CC,120.69 bhp,91Nm@ 3500rpm,5.0,1145000
Honda Amaze,Honda,Amaze,3,40000,Individual,Petrol,Manual,17.8 kmpl,1198 CC,86.7 bhp,24@ 1900(kgm@ rpm),5.0,610000
Maruti Wagon R,Maruti,Wagon R,3,6000,Dealer,Petrol,Manual,21.79 kmpl,998 CC,,91Nm@ 3500rpm,5.0,400000
Hyundai Creta,Hyundai,Creta,6,81000,dealer,diesel,Manual,19.67 kmpl,1582 CC,126.2 bhp,250Nm@ 1500-2500rpm,5.0,975000
Maruti Swift,Maruti,Swift,8,100000,  Individual ,Diesel,Manual,22.9 kmpl,1248 CC,74.0 bhp,170Nm@ 1800-2400rpm,5.0,320000
Jaguar XF,Jaguar,XF,6,80000,Dealer,diesel,Automatic,16.36 kmpl,2179 CC,187.7 bhp,190Nm@ 2000rpm,5.0,2850000
Honda Amaze,Honda,Amaze,8,33456,Dealer,PETROL,Automatic,15.5 kmpl,,86.7 bhp,,5.0,425000
Maruti Baleno,Maruti,Baleno,3,22000,Dealer,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,750000
Audi A8,Audi,A8,6,55000,Dealer,  Diesel ,Automatic,16.77 kmpl,2967 CC,246.74 bhp,91Nm@ 3500rpm,4.0,4450000
Skoda Rapid,Skoda,Rapid,6,52000,Dealer,Diesel,Manual,21.14 kmpl,1498 CC,103.52 bhp,,5.0,515000
Datsun RediGO,Datsun,RediGO,3,27263,  Individual ,PETROL,Manual,22.5 kmpl,999 CC,68.0 bhp,190Nm@ 2000rpm,5.0,350000
Hyundai i20,Hyundai,i20,5,27884,dealer,Petrol,Manual,18.6 kmpl,1197 CC,81.83 bhp,200Nm@ 1750rpm,5.0,629000
Toyota Innova,Toyota,Innova,8,120000,Individual,  Diesel ,Manual,12.99 kmpl,2494 CC,100.6 bhp,113Nm@ 4000rpm,7.0,1000000
Maruti XL6,Maruti,XL6,1,14000,Dealer,PETROL,Manual,19.01 kmpl,1462 CC,103.2 bhp,24@ 1900(kgm@ rpm),6.0,1150000
Tata Hexa,Tata,Hexa,3,84523,Dealer,Diesel,Manual,,2179 CC,153.86 bhp,113Nm@ 4000rpm,7.0,1198000
Honda City,Honda,City,5,78236,DEALER,PETROL,Manual,17.4 kmpl,1497 CC,117.3 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,651000
Hyundai Grand,Hyundai,Grand,8,70000,DEALER,  Diesel ,Manual,,1120 CC,70.0 bhp,190Nm@ 2000rpm,5.0,290000
Audi A4,Audi,A4,5,51000,dealer,Diesel,Automatic,18.25 kmpl,1968 CC,187.74 bhp,113Nm@ 4000rpm,5.0,1850000
Land Rover Rover,Land Rover,Rover,4,35800,  Dealer ,  Diesel ,Automatic,12.83 kmpl,,148.31 bhp,,7.0,3575000
Mahindra Bolero,Mahindra,Bolero,11,85000,Individual,Diesel,Manual,,2523 CC,63.0 bhp,200Nm@ 1750rpm,7.0,330000
Kia Seltos,Kia,Seltos,2,20999,Dealer,PETROL,Manual,16.1 kmpl,1353 CC,138.0 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,1840000
Honda City,Honda,City,2,10229,dealer,Petrol,Manual,17.4 kmpl,1497 CC,117.6 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,1100000
Tata Safari,Tata,Safari,10,120000,  Individual ,Diesel,Manual,13.93 kmpl,2179 CC,138.03 bhp,200Nm@ 1750rpm,7.0,270000
Renault Duster,Renault,Duster,8,47000,Dealer,diesel,Manual,20.46 kmpl,1461 CC,83.8 bhp,190Nm@ 2000rpm,5.0,625000
Hyundai i10,Hyundai,i10,12,42000,Individual,PETROL,Manual,19.81 kmpl,1086 CC,68.05 bhp,170Nm@ 1800-2400rpm,5.0,180000
Land Rover Rover,Land Rover,Rover,9,98000,Dealer,Diesel,Automatic,12.7 kmpl,2179 CC,187.7 bhp,250Nm@ 1500-2500rpm,5.0,2090000
Toyota Fortuner,Toyota,Fortuner,2,45000,Dealer,  Diesel ,Automatic,12.9 kmpl,2755 CC,174.5 bhp,113Nm@ 4000rpm,7.0,3300000
Maruti Swift,Maruti,Swift,8,70000,Individual,  Diesel ,Manual,22.9 kmpl,1248 CC,74.0 bhp,113Nm@ 4000rpm,5.0,530000
Honda City,Honda,City,6,47000,  Dealer ,  Petrol ,Automatic,18.0 kmpl,1497 CC,117.3 bhp,91Nm@ 3500rpm,5.0,775000
Maruti Eeco,Maruti,Eeco,10,70000,DEALER,petrol,Manual,16.11 kmpl,1196 CC,72.42 bhp,113Nm@ 4000rpm,5.0,275000
Honda Jazz,Honda,Jazz,2,12000,Dealer,Petrol,Manual,18.7 kmpl,1199 CC,88.7 bhp,170Nm@ 1800-2400rpm,,825000
Maruti Wagon R,Maruti,Wagon R,9,49000,dealer,Petrol,Manual,20.51 kmpl,998 CC,67.04 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,231000
Mahindra XUV500,Mahindra,XUV500,4,48900,dealer,Diesel,Manual,16.0 kmpl,2179 CC,140.0 bhp,,7.0,1125000
Honda WR-V,Honda,WR-V,4,20000,Individual,Petrol,Manual,17.5 kmpl,1199 CC,,190Nm@ 2000rpm,5.0,750000
Maruti Celerio,Maruti,Celerio,5,70000,individual,Petrol,Manual,,998 CC,67.04 bhp,170Nm@ 1800-2400rpm,5.0,375000
Maruti Wagon R,Maruti,Wagon R,6,15000,Individual,Petrol,Manual,20.51 kmpl,998 CC,67.04 bhp,200Nm@ 1750rpm,5.0,300000
Maruti Swift,Maruti,Swift,4,91000,dealer,Diesel,Manual,28.4 kmpl,1248 CC,,190Nm@ 2000rpm,5.0,725000
Maruti Wagon R,Maruti,Wagon R,5,15680,DEALER,Petrol,Automatic,20.51 kmpl,998 CC,67.04 bhp,190Nm@ 2000rpm,5.0,451000
Hyundai Verna,Hyundai,Verna,4,40000,Individual,Diesel,Automatic,22.0 kmpl,1582 CC,126.2 bhp,250Nm@ 1500-2500rpm,5.0,980000
Mahindra Scorpio,Mahindra,Scorpio,11,95000,Individual,Diesel,Automatic,11.79 kmpl,2179 CC,120.0 bhp,113Nm@ 4000rpm,8.0,500000
Mahindra XUV500,Mahindra,XUV500,4,65000,Dealer,Diesel,Automatic,16.0 kmpl,2179 CC,140.0 bhp,"12.7@ 2,700(kgm@ rpm)",7.0,1175000
Honda WR-V,Honda,WR-V,3,33000,Dealer,diesel,Manual,25.5 kmpl,1498 CC,,250Nm@ 1500-2500rpm,5.0,890000
Maruti Celerio,Maruti,Celerio,3,36000,Dealer,Petrol,Automatic,23.1 kmpl,998 CC,,,5.0,545000
Maruti Swift,Maruti,Swift,12,63000,Dealer,PETROL,Manual,16.1 kmpl,1197 CC,,"12.7@ 2,700(kgm@ rpm)",5.0,220000
Ford Figo,Ford,Figo,10,44000,Dealer,petrol,Manual,15.6 kmpl,1196 CC,70.0 bhp,91Nm@ 3500rpm,5.0,251000
Tata Nexon,Tata,Nexon,3,10000,Individual,Petrol,Manual,17.0 kmpl,1198 CC,108.5 bhp,113Nm@ 4000rpm,5.0,550000
Volkswagen Vento,Volkswagen,Vento,6,52000,individual,PETROL,Manual,15.04 kmpl,1598 CC,103.2 bhp,190Nm@ 2000rpm,5.0,510000
Maruti Baleno,Maruti,Baleno,4,34676,Dealer,Petrol,Manual,21.4 kmpl,1197 CC,83.1 bhp,91Nm@ 3500rpm,5.0,710000
Skoda Octavia,Skoda,Octavia,13,38000,Dealer,Diesel,Manual,,1896 CC,122.4 bhp,91Nm@ 3500rpm,5.0,540000
Jaguar XF,Jaguar,XF,8,58000,Dealer,Diesel,Automatic,16.36 kmpl,2179 CC,187.7 bhp,24@ 1900(kgm@ rpm),5.0,2085000
Mahindra Bolero,Mahindra,Bolero,11,350000,Individual,Diesel,Manual,13.6 kmpl,2523 CC,63.0 bhp,190Nm@ 2000rpm,7.0,325000
Maruti Swift Dzire,Maruti,Swift Dzire,7,50900,Dealer,Diesel,Manual,19.3 kmpl,1248 CC,73.9 bhp,,5.0,450000
Maruti Wagon R,Maruti,Wagon R,5,32000,Dealer,Petrol,Manual,18.9 kmpl,998 CC,67.1 bhp,170Nm@ 1800-2400rpm,5.0,350000
Hyundai i20,Hyundai,i20,3,25000,dealer,Petrol,Manual,18.6 kmpl,1197 CC,81.86 bhp,200Nm@ 1750rpm,5.0,550000
Maruti Swift,Maruti,Swift,8,73695,TRUSTMARK DEALER,Petrol,Manual,18.6 kmpl,1197 CC,85.8 bhp,200Nm@ 1750rpm,5.0,345000
Toyota Innova,Toyota,Innova,7,79000,  Dealer ,Diesel,Manual,,2494 CC,100.6 bhp,24@ 1900(kgm@ rpm),7.0,1140000
Maruti Alto,Maruti,Alto,14,17000,dealer,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,200Nm@ 1750rpm,5.0,145000
Mahindra Scorpio,Mahindra,Scorpio,14,76600,Dealer,Diesel,Manual,10.5 kmpl,2179 CC,120.0 bhp,200Nm@ 1750rpm,7.0,375000
Tata Safari,Tata,Safari,9,80000,  Individual ,Diesel,Manual,13.93 kmpl,2179 CC,138.03 bhp,250Nm@ 1500-2500rpm,7.0,285000
Honda City,Honda,City,5,19000,Dealer,Petrol,Automatic,18.0 kmpl,1497 CC,117.3 bhp,91Nm@ 3500rpm,5.0,820000
Maruti Swift,Maruti,Swift,3,40000,Individual,Petrol,Manual,21.21 kmpl,1197 CC,,"12.7@ 2,700(kgm@ rpm)",5.0,550000
Maruti Alto,Maruti,Alto,5,49000,DEALER,Petrol,Manual,22.74 kmpl,796 CC,47.3 bhp,200Nm@ 1750rpm,5.0,300000
Hyundai Creta,Hyundai,Creta,4,58000,DEALER,Petrol,Manual,13.0 kmpl,1591 CC,121.3 bhp,190Nm@ 2000rpm,5.0,1175000
Maruti Vitara,Maruti,Vitara,4,67000,DEALER,Diesel,Manual,24.3 kmpl,1248 CC,88.5 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,800000
Tata Tiago,Tata,Tiago,3,41000,Dealer,Petrol,Manual,23.84 kmpl,1199 CC,84.0 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,520000
Maruti Eeco,Maruti,Eeco,7,39000,Dealer,CNG,Manual,21.94 km/kg,,61.7 bhp,,5.0,365000
Maruti Vitara,Maruti,Vitara,2,7980,Dealer,Diesel,Manual,24.3 kmpl,1248 CC,,170Nm@ 1800-2400rpm,5.0,850000
Hyundai Creta,Hyundai,Creta,4,60000,Individual,DIESEL,Manual,21.38 kmpl,1396 CC,88.7 bhp,200Nm@ 1750rpm,5.0,880000
Hyundai i20,Hyundai,i20,6,34000,  Dealer ,Petrol,Manual,18.5 kmpl,1197 CC,82.9 bhp,200Nm@ 1750rpm,5.0,495000
Mahindra Scorpio,Mahindra,Scorpio,11,49000,dealer,  Diesel ,Manual,,2179 CC,120.0 bhp,24@ 1900(kgm@ rpm),7.0,399000
Ford Figo,Ford,Figo,4,40000,Individual,Diesel,Manual,24.29 kmpl,1498 CC,99.0 bhp,200Nm@ 1750rpm,5.0,580000
Hyundai i20,Hyundai,i20,4,34300,  Dealer ,Petrol,Manual,18.6 kmpl,1197 CC,81.83 bhp,250Nm@ 1500-2500rpm,5.0,600000
Toyota Innova,Toyota,Innova,2,6500,Dealer,Diesel,Manual,13.68 kmpl,2393 CC,147.8 bhp,"12.7@ 2,700(kgm@ rpm)",7.0,2150000
Hyundai Grand,Hyundai,Grand,6,65481,Dealer,PETROL,Manual,18.9 kmpl,1197 CC,82.0 bhp,250Nm@ 1500-2500rpm,5.0,434000
Hyundai Grand,Hyundai,Grand,8,83000,Individual,Diesel,Manual,24.0 kmpl,1120 CC,70.0 bhp,190Nm@ 2000rpm,5.0,315000
Audi A6,Audi,A6,7,56000,dealer,Diesel,Automatic,17.68 kmpl,1968 CC,174.33 bhp,113Nm@ 4000rpm,5.0,1650000
Hyundai Grand,Hyundai,Grand,12,59000,Dealer,Diesel,Manual,24.0 kmpl,1120 CC,70.0 bhp,113Nm@ 4000rpm,5.0,210000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,6,65000,Dealer,DIESEL,Automatic,13.0 kmpl,2987 CC,261.5 bhp,190Nm@ 2000rpm,5.0,2490000
Honda Jazz,Honda,Jazz,2,10597,Dealer,Petrol,Manual,18.7 kmpl,1199 CC,88.7 bhp,91Nm@ 3500rpm,5.0,815000
Hyundai Santro,Hyundai,Santro,11,50503,Dealer,Petrol,Manual,17.92 kmpl,1086 CC,62.1 bhp,200Nm@ 1750rpm,5.0,190000
BMW X3,BMW,X3,7,66000,  Dealer ,diesel,Automatic,18.56 kmpl,1995 CC,190.0 bhp,113Nm@ 4000rpm,5.0,2150000
Mahindra Bolero,Mahindra,Bolero,1,40000,Individual,diesel,Manual,16.5 kmpl,1493 CC,70.0 bhp,91Nm@ 3500rpm,7.0,750000
Toyota Innova,Toyota,Innova,4,65000,DEALER,diesel,Manual,13.68 kmpl,2393 CC,147.8 bhp,"12.7@ 2,700(kgm@ rpm)",,1670000
Maruti Alto,Maruti,Alto,9,21000,Individual,Petrol,Manual,19.7 kmpl,796 CC,46.3 bhp,200Nm@ 1750rpm,5.0,140000
Hyundai i10,Hyundai,i10,5,47000,individual,Petrol,Manual,19.81 kmpl,1086 CC,68.05 bhp,113Nm@ 4000rpm,5.0,370000
Audi A4,Audi,A4,8,38672,Dealer,DIESEL,Automatic,15.2 kmpl,1968 CC,,250Nm@ 1500-2500rpm,5.0,1285000
Mahindra Scorpio,Mahindra,Scorpio,9,89000,Dealer,Diesel,Manual,12.05 kmpl,,120.0 bhp,,8.0,695000
Skoda Rapid,Skoda,Rapid,7,59000,Dealer,Petrol,Automatic,14.3 kmpl,1598 CC,103.6 bhp,,5.0,445000
Maruti Swift Dzire,Maruti,Swift Dzire,4,90000,Individual,Diesel,Manual,28.4 kmpl,1248 CC,74.02 bhp,113Nm@ 4000rpm,5.0,700000
Tata Tiago,Tata,Tiago,5,90000,Individual,Petrol,Manual,23.84 kmpl,1199 CC,84.0 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,400000
Maruti Swift Dzire,Maruti,Swift Dzire,8,50000,Dealer,Petrol,Manual,19.1 kmpl,1197 CC,85.8 bhp,24@ 1900(kgm@ rpm),5.0,375000
Maruti Alto,Maruti,Alto,5,42540,Dealer,PETROL,Manual,22.74 kmpl,796 CC,47.3 bhp,24@ 1900(kgm@ rpm),5.0,290000
Maruti Ertiga,Maruti,Ertiga,7,76000,INDIVIDUAL,Petrol,Manual,16.02 kmpl,1373 CC,93.7 bhp,24@ 1900(kgm@ rpm),7.0,450000
Honda City,Honda,City,6,45000,  Dealer ,Petrol,Manual,17.4 kmpl,1497 CC,117.3 bhp,250Nm@ 1500-2500rpm,5.0,665000
Volkswagen Polo,Volkswagen,Polo,6,42000,Dealer,  Diesel ,Manual,20.14 kmpl,1498 CC,88.8 bhp,190Nm@ 2000rpm,5.0,640000
Maruti Swift,Maruti,Swift,6,56562,  Dealer ,Diesel,Manual,25.2 kmpl,1248 CC,74.0 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,540000
Ford Ecosport,Ford,Ecosport,7,38000,Dealer,  Diesel ,Manual,22.7 kmpl,1498 CC,89.84 bhp,190Nm@ 2000rpm,5.0,650000
Ford Freestyle,Ford,Freestyle,2,5600,  Dealer ,Petrol,Manual,19.0 kmpl,1194 CC,94.68 bhp,113Nm@ 4000rpm,5.0,740000
Honda Jazz,Honda,Jazz,6,64000,Individual,Petrol,Manual,18.7 kmpl,,88.7 bhp,,5.0,570000
Hyundai Creta,Hyundai,Creta,3,25000,Individual,Diesel,Manual,19.67 kmpl,1582 CC,126.2 bhp,250Nm@ 1500-2500rpm,5.0,1200000
Maruti Alto,Maruti,Alto,5,13000,individual,petrol,Manual,23.95 kmpl,998 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0,299000
Honda Amaze,Honda,Amaze,8,53000,Dealer,Petrol,Automatic,15.5 kmpl,,86.7 bhp,,5.0,425000
Honda City,Honda,City,14,78948,DEALER,Petrol,Manual,17.8 kmpl,1498 CC,119.35 bhp,113Nm@ 4000rpm,5.0,327000
Maruti Swift,Maruti,Swift,5,8000,  Dealer ,  Petrol ,Manual,22.0 kmpl,1197 CC,81.8 bhp,170Nm@ 1800-2400rpm,5.0,475000
Honda City,Honda,City,6,42000,individual,petrol,Manual,17.4 kmpl,1497 CC,117.3 bhp,24@ 1900(kgm@ rpm),5.0,550000
Honda City,Honda,City,14,44621,dealer,Petrol,Manual,13.0 kmpl,1343 CC,90.0 bhp,170Nm@ 1800-2400rpm,5.0,300000
Hyundai i20,Hyundai,i20,2,40000,INDIVIDUAL,Diesel,Manual,22.54 kmpl,1396 CC,88.76 bhp,170Nm@ 1800-2400rpm,5.0,725000
Hyundai i10,Hyundai,i10,7,60000,individual,PETROL,Manual,20.36 kmpl,1197 CC,78.9 bhp,113Nm@ 4000rpm,5.0,285000
Mahindra Marazzo,Mahindra,Marazzo,3,36000,Dealer,Diesel,Manual,17.3 kmpl,1497 CC,121.0 bhp,24@ 1900(kgm@ rpm),7.0,1085000
Maruti Swift Dzire,Maruti,Swift Dzire,9,56200,Dealer,Diesel,Manual,23.4 kmpl,1248 CC,74.0 bhp,200Nm@ 1750rpm,5.0,485000
Maruti Ertiga,Maruti,Ertiga,8,90000,individual,diesel,Manual,20.77 kmpl,1248 CC,88.76 bhp,113Nm@ 4000rpm,7.0,600000
Mercedes-Benz E-Class,Mercedes-Benz,E-Class,14,77000,Dealer,diesel,Automatic,11.0 kmpl,2987 CC,198.5 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,750000
Maruti Alto,Maruti,Alto,7,2620,dealer,Petrol,Manual,22.74 kmpl,796 CC,47.3 bhp,113Nm@ 4000rpm,5.0,275000
Honda City,Honda,City,7,120000,Individual,Diesel,Manual,,1498 CC,98.6 bhp,250Nm@ 1500-2500rpm,5.0,500000
Mahindra KUV,Mahindra,KUV,4,35000,Individual,Petrol,Manual,18.15 kmpl,1198 CC,82.0 bhp,190Nm@ 2000rpm,,450000
Hyundai Grand,Hyundai,Grand,6,48728,Dealer,diesel,Manual,24.0 kmpl,1120 CC,70.0 bhp,200Nm@ 1750rpm,5.0,480000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,8,35400,Dealer,DIESEL,Automatic,14.84 kmpl,2143 CC,,"12.7@ 2,700(kgm@ rpm)",5.0,1385000
Hyundai i10,Hyundai,i10,10,15000,Individual,Petrol,Manual,20.36 kmpl,1197 CC,78.9 bhp,24@ 1900(kgm@ rpm),5.0,500000
Datsun redi-GO,Datsun,redi-GO,5,50000,Dealer,Petrol,Manual,21.7 kmpl,999 CC,67.05 bhp,24@ 1900(kgm@ rpm),5.0,325000
Nissan Kicks,Nissan,Kicks,1,15000,Individual,Petrol,Manual,14.23 kmpl,1330 CC,153.87 bhp,250Nm@ 1500-2500rpm,5.0,1000000
Hyundai Grand,Hyundai,Grand,5,5000,  Individual ,diesel,Manual,24.0 kmpl,1120 CC,70.0 bhp,190Nm@ 2000rpm,5.0,535000
Maruti Swift Dzire,Maruti,Swift Dzire,13,84903,dealer,Diesel,Manual,19.3 kmpl,1248 CC,73.9 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,340000
Mercedes-Benz C-Class,Mercedes-Benz,C-Class,3,8000,Dealer,PETROL,Automatic,14.74 kmpl,1991 CC,181.04 bhp,200Nm@ 1750rpm,5.0,3650000
Volkswagen Vento,Volkswagen,Vento,9,57500,Dealer,Petrol,Automatic,14.4 kmpl,1598 CC,103.6 bhp,200Nm@ 1750rpm,5.0,350000
Jeep Compass,Jeep,Compass,2,32280,Dealer,Diesel,Manual,17.1 kmpl,1956 CC,170.63 bhp,170Nm@ 1800-2400rpm,5.0,1875000
Honda City,Honda,City,6,80000,  Individual ,diesel,Manual,26.0 kmpl,1498 CC,98.6 bhp,190Nm@ 2000rpm,5.0,760000
Ford Figo,Ford,Figo,9,63000,Dealer,  Diesel ,Manual,20.0 kmpl,1399 CC,68.05 bhp,200Nm@ 1750rpm,5.0,210000
Land Rover Rover,Land Rover,Rover,11,80000,Individual,diesel,Automatic,10.2 kmpl,4367 CC,308.0 bhp,24@ 1900(kgm@ rpm),7.0,3000000
Hyundai Grand,Hyundai,Grand,4,23000,Dealer,  Petrol ,Manual,18.9 kmpl,1197 CC,81.86 bhp,170Nm@ 1800-2400rpm,5.0,455000
Maruti Swift,Maruti,Swift,5,100000,INDIVIDUAL,Diesel,Manual,25.2 kmpl,1248 CC,74.0 bhp,91Nm@ 3500rpm,5.0,535000
Hyundai i20,Hyundai,i20,5,8500,Dealer,Petrol,Manual,18.5 kmpl,1197 CC,80.0 bhp,170Nm@ 1800-2400rpm,5.0,540000
Maruti Swift,Maruti,Swift,7,57351,  Dealer ,diesel,Manual,22.9 kmpl,1248 CC,74.0 bhp,190Nm@ 2000rpm,5.0,450000
Hyundai i10,Hyundai,i10,8,38100,dealer,PETROL,Manual,20.36 kmpl,1197 CC,78.9 bhp,91Nm@ 3500rpm,5.0,340000
Toyota Innova,Toyota,Innova,10,68830,dealer,DIESEL,Manual,12.8 kmpl,2494 CC,102.0 bhp,190Nm@ 2000rpm,7.0,685000
Maruti Swift,Maruti,Swift,15,84800,Dealer,PETROL,Manual,16.1 kmpl,1197 CC,85.0 bhp,250Nm@ 1500-2500rpm,5.0,185000
Honda City,Honda,City,7,26000,DEALER,Diesel,Manual,26.0 kmpl,1498 CC,98.6 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,590000
Hyundai Grand,Hyundai,Grand,6,36000,Dealer,PETROL,Manual,18.9 kmpl,1197 CC,82.0 bhp,,5.0,400000
Tata Safari,Tata,Safari,6,147000,Individual,Diesel,Manual,14.0 kmpl,2179 CC,138.1 bhp,,7.0,800000
Toyota Glanza,Toyota,Glanza,2,10000,Dealer,Petrol,Manual,21.01 kmpl,1197 CC,81.8 bhp,200Nm@ 1750rpm,5.0,800000
Hyundai Verna,Hyundai,Verna,3,40000,Individual,Diesel,Manual,22.0 kmpl,1582 CC,126.2 bhp,24@ 1900(kgm@ rpm),5.0,975000
BMW 3,BMW,3,10,51000,Dealer,DIESEL,Automatic,16.07 kmpl,1995 CC,181.0 bhp,24@ 1900(kgm@ rpm),4.0,850000
